#SLFR RTP Motor_Comp_w_accel_fb
#Gth num=[ 18.32547182 -17.20911971]
#Gth den=[ 1.         -0.77672958]
#Ga num=[ 0.00045097  0.00045152 -0.00044989 -0.00045043]
#Ga den=[ 1.         -2.9289362   2.85853684 -0.92960052]
#t	n	u	v	$\theta$	a	$\hat{\theta}_d$
0	0	0	0	0	0.04	0
0.002	1	0	-0.0003305725339	0	0.04	-1.80389644e-05
0.004	2	0	-0.001576099875	0	0.04	-8.893463285e-05
0.006	3	0	-0.00385401969	0	0.04	-0.0002270229702
0.008	4	0	-0.006922065874	0	0.04	-0.0004275688145
0.01	5	0	-0.01059212525	0	0.04	-0.0006861288479
0.012	6	0	-0.01471815009	0	0.04	-0.000998533996
0.014	7	0	-0.0191867691	0	0.04	-0.001360872883
0.016	8	0	-0.02390999446	0	0.04	-0.001769476283
0.018	9	0	-0.02881955695	0	0.04	-0.002220902504
0.02	10	200	200	0	0.04	199.9972881
0.022	11	200	200	0	1.04	199.9967605
0.024	12	200	200	1	0.04	199.9957482
0.026	13	200	200	1	-1.96	199.9938344
0.028	14	200	200	2	13.04	199.9924356
0.03	15	200	200	4	1.04	199.9870071
0.032	16	200	200	5	-5.96	199.9706157
0.034	17	200	200	7	-16.96	199.951246
0.036	18	200	200	9	-18.96	199.9458017
0.038	19	200	200	11	-25.96	199.9673012
0.04	20	200	200	14	-24.96	200.0237869
0.042	21	200	200	16	-24.96	200.1195668
0.044	22	200	200	19	-19.96	200.2541179
0.046	23	200	200	21	-8.96	200.4219702
0.048	24	200	200	24	1.04	200.6112489
0.05	25	200	200	27	-7.96	200.8036739
0.052	26	200	200	30	5.04	200.9889943
0.054	27	200	200	33	1.04	201.1653402
0.056	28	200	200	37	10.04	201.327369
0.058	29	200	200	40	20.04	201.4696653
0.06	30	200	200	43	24.04	201.582691
0.062	31	200	200	46	37.04	201.6535268
0.064	32	200	200	50	48.04	201.6710753
0.066	33	200	200	53	54.04	201.6205289
0.068	34	200	200	56	72.04	201.4881455
0.07	35	200	200	60	65.04	201.2611825
0.072	36	200	200	63	55.04	200.9305409
0.074	37	200	200	67	67.04	200.506302
0.076	38	200	200	70	71.04	200.0019615
0.078	39	200	200	74	70.04	199.4152447
0.08	40	200	200	77	71.04	198.7436305
0.082	41	200	200	80	61.04	197.9920375
0.084	42	200	200	84	73.04	197.170501
0.086	43	200	196.6661459	87	73.04	196.2874995
0.088	44	200	200	90	72.04	195.3414888
0.09	45	200	200	94	60.04	194.3324208
0.092	46	200	179.0749894	97	67.04	193.2715609
0.094	47	200	174.7743187	100	58.04	192.1712278
0.096	48	200	166.252684	103	55.04	191.0379481
0.098	49	200	154.5852303	106	50.04	189.8809718
0.1	50	200	140.6554632	109	46.04	188.7116268
0.102	51	200	125.123219	112	45.04	187.53911
0.104	52	200	108.4748314	114	60.04	186.3706293
0.106	53	200	109.2222832	117	54.04	185.2025179
0.108	54	200	87.76916065	119	68.04	184.0250485
0.11	55	200	84.48010491	121	68.04	182.8318781
0.112	56	200	77.92362022	123	70.04	181.6148571
0.114	57	200	68.71342556	125	75.04	180.3691192
0.116	58	200	57.38510331	126	81.04	179.0933081
0.118	59	200	62.60626404	127	76.04	177.7821194
0.12	60	200	63.39276327	129	86.04	176.4333421
0.122	61	200	42.37955431	130	85.04	175.0476451
0.124	62	200	39.8729171	130	93.04	173.6220638
0.126	63	200	52.74602764	131	97.04	172.1529594
0.128	64	200	41.89545858	132	95.04	170.6356171
0.13	65	200	29.73467474	132	88.04	169.0679303
0.132	66	200	34.96362265	133	89.04	167.4574374
0.134	67	200	18.31243945	133	82.04	165.8147865
0.136	68	200	20.32214553	133	71.04	164.1485525
0.138	69	200	19.83653122	133	64.04	162.4721409
0.14	70	200	17.72927142	133	48.04	160.8034452
0.142	71	200	14.71745591	133	43.04	159.1613686
0.144	72	200	11.37966569	132	35.04	157.5648413
0.146	73	200	26.40472836	132	26.04	156.0269448
0.148	74	200	20.41304366	132	12.04	154.5580156
0.15	75	200	15.6413321	132	2.04	153.1721429
0.152	76	200	12.20718492	132	-6.96	151.8855475
0.154	77	200	10.16532531	131	-17.96	150.7114643
0.156	78	200	27.84743454	131	-28.96	149.6603411
0.158	79	200	25.65407971	131	-39.96	148.7431828
0.16	80	200	25.5843273	130	-40.96	147.9710557
0.162	81	200	45.7559635	130	-37.96	147.3496645
0.164	82	200	46.18071566	130	-34.96	146.8734078
0.166	83	200	48.39277057	130	-29.96	146.5288698
0.168	84	200	51.8603113	129	-26.96	146.3007816
0.17	85	200	74.48029981	129	-17.96	146.1739624
0.172	86	200	76.26196122	129	-11.96	146.1324202
0.174	87	200	78.83068059	129	-8.96	146.1580646
0.176	88	200	81.80126395	130	-2.96	146.2353724
0.178	89	200	66.60046308	131	-5.96	146.3525715
0.18	90	200	54.38744458	132	3.04	146.5013884
0.182	91	200	44.41376511	132	17.04	146.6754571
0.184	92	200	54.2589809	133	19.04	146.859819
0.186	93	200	43.63713147	134	-28.96	147.0360359
0.188	94	200	34.57378281	135	-4.96	147.2180692
0.19	95	200	27.29609796	136	3.04	147.4369487
0.192	96	200	21.33076107	137	0.04	147.6863574
0.194	97	200	16.07111447	138	-5.96	147.94732
0.196	98	200	11.38757349	139	-21.96	148.2206593
0.198	99	200	7.402368003	141	-34.96	148.5193103
0.2	100	200	-13.95199565	142	-24.96	148.8643169
0.202	101	200	-13.00974648	143	-38.96	149.2666697
0.204	102	200	-11.91391605	144	-59.96	149.7252909
0.206	103	200	-10.39050305	145	-56.96	150.2535756
0.208	104	200	-8.113770502	146	-68.96	150.8702648
0.21	105	200	-5.049387067	147	-59.96	151.5810245
0.212	106	200	-1.296513568	148	-46.96	152.3843096
0.214	107	200	2.810895121	149	-62.96	153.2646483
0.216	108	200	7.015005657	150	-61.96	154.2075965
0.218	109	200	11.42288727	151	-58.96	155.216361
0.22	110	200	16.0586723	152	-59.96	156.2907319
0.222	111	200	20.79995678	153	-48.96	157.4228099
0.224	112	200	25.50268799	154	-58.96	158.6025041
0.226	113	200	30.06429191	156	-70.96	159.8208468
0.228	114	200	16.34505808	157	-51.96	161.0839009
0.23	115	200	24.06442294	158	-44.96	162.3945782
0.232	116	200	30.93231015	160	-40.96	163.7339153
0.234	117	200	18.48856343	161	-41.96	165.0824426
0.236	118	200	26.44767576	163	-49.96	166.4324072
0.238	119	200	14.75435891	164	-48.96	167.7856128
0.24	120	200	23.44801594	166	-42.96	169.1482468
0.242	121	200	12.42598984	168	-45.96	170.5188478
0.244	122	200	3.200582904	169	-51.96	171.8915419
0.246	123	200	13.73051027	171	-58.96	173.2680775
0.248	124	200	4.236709002	173	-50.96	174.6572959
0.25	125	200	-3.518802091	175	-54.96	176.0629096
0.252	126	200	-9.983160629	176	-49.96	177.4806987
0.254	127	200	2.822332358	178	-55.96	178.9067295
0.256	128	200	-4.955947372	180	-68.96	180.3395916
0.258	129	200	-11.36433221	182	-59.96	181.7869887
0.26	130	200	-16.5364055	183	-67.96	183.2574361
0.262	131	200	-2.417274175	185	-59.96	184.7498272
0.264	132	200	-8.876337605	187	-62.96	186.2613163
0.266	133	200	-14.17043476	188	-75.96	187.7874407
0.268	134	200	-0.1618840639	190	-65.96	189.3312548
0.27	135	200	-6.557200555	191	-65.96	190.8992
0.272	136	200	6.65547491	193	-55.96	192.4855326
0.274	137	200	-0.6213814147	195	-52.96	194.0790349
0.276	138	200	-6.812124562	196	-62.96	195.6679097
0.278	139	200	6.100406145	198	-58.96	197.2488477
0.28	140	200	-1.591760645	199	-53.96	198.8273426
0.282	141	200	10.2051745	201	-52.96	200.4012943
0.284	142	200	1.465283502	202	-47.96	201.9633402
0.286	143	200	12.19449167	204	-48.96	203.5079885
0.288	144	200	2.414973176	205	-49.96	205.0310406
0.29	145	200	12.21095533	207	-33.96	206.5322102
0.292	146	200	1.557245459	208	-38.96	208.0062837
0.294	147	200	10.32794268	210	-34.96	209.4425626
0.296	148	200	-1.44045798	212	-35.96	210.838328
0.298	149	200	-11.9781041	213	-38.96	212.1946815
0.3	150	200	-3.234296923	215	-35.96	213.5140248
0.302	151	200	-15.02375502	216	-27.96	214.7999688
0.304	152	200	-7.32671333	218	-39.96	216.0491295
0.306	153	200	-20.09383904	219	-38.96	217.2601833
0.308	154	200	-13.10437752	220	-35.96	218.4418429
0.31	155	200	-7.928514093	222	-37.96	219.5986271
0.312	156	200	-22.53638874	223	-22.96	220.729345
0.314	157	200	-17.09978423	224	-38.96	221.8288455
0.316	158	200	-13.4089956	225	-37.96	222.893255
0.318	159	200	-10.94769061	227	-31.96	223.9316163
0.32	160	200	-27.70750223	228	-33.96	224.948754
0.322	161	200	-23.96052503	229	-29.96	225.9406028
0.324	162	200	-21.55040698	230	-31.96	226.9056489
0.326	163	200	-20.21757979	231	-36.96	227.8434018
0.328	164	200	-19.68567468	231	-28.96	228.7574799
0.33	165	200	-1.423113085	232	-19.96	229.6508143
0.332	166	200	-5.094495637	233	-23.96	230.5153223
0.334	167	200	-8.779753881	234	-20.96	231.3425963
0.336	168	200	-12.51159117	235	-16.96	232.1329509
0.338	169	200	-16.3315846	235	-21.96	232.8857989
0.34	170	200	-1.946059319	236	-7.96	233.6006159
0.342	171	200	-9.02187625	237	-14.96	234.2760344
0.344	172	200	-15.6912267	237	-16.96	234.9071972
0.346	173	200	-3.702405144	238	-11.96	235.4977271
0.348	174	200	-12.70589445	239	-13.96	236.0528239
0.35	175	200	-20.85527155	239	-5.96	236.5719362
0.352	176	200	-10.08974142	240	-4.96	237.0532193
0.354	177	200	-20.28990923	240	-10.96	237.4922724
0.356	178	200	-11.27100171	241	-8.96	237.8899854
0.358	179	200	-22.781756	241	-5.96	238.2530732
0.36	180	200	-14.71030841	241	-7.96	238.5832962
0.362	181	200	-8.685537383	242	-5.96	238.8800573
0.364	182	200	-22.58181237	242	-8.96	239.1450751
0.366	183	200	-16.40601557	242	-11.96	239.3808697
0.368	184	200	-11.78850764	242	-2.96	239.5925096
0.37	185	200	-8.379477347	242	-2.96	239.7815695
0.372	186	200	-6.031179847	243	-4.96	239.9427636
0.374	187	200	-22.88710673	243	-3.96	240.0747963
0.376	188	200	-19.09662795	243	-3.96	240.1809885
0.378	189	200	-16.47531754	243	-0.96	240.2630932
0.38	190	200	-14.79192623	243	0.04	240.3209521
0.382	191	200	-13.89134608	243	-3.96	240.353079
0.384	192	200	-13.60301265	243	-4.96	240.3608116
0.386	193	200	-13.7200101	243	1.04	240.3494676
0.388	194	200	-14.14834742	243	3.04	240.3203997
0.39	195	200	-14.92247432	243	7.04	240.2690146
0.392	196	200	-16.07647274	243	7.04	240.1905989
0.394	197	200	-17.60274916	243	4.04	240.0825855
0.396	198	200	-19.42031962	242	7.04	239.9466609
0.398	199	200	-3.107715365	242	7.04	239.7862149
0.4	200	200	-8.266346305	242	6.04	239.6017106
0.402	201	200	-12.90364034	242	18.04	239.394044
0.404	202	200	-17.21244365	241	6.04	239.1604544
0.406	203	200	-3.024641908	241	10.04	238.8979363
0.408	204	200	-9.930799386	241	12.04	238.6122778
0.41	205	200	-15.98859668	241	10.04	238.3061731
0.412	206	200	-21.43021824	240	6.04	237.9785339
0.414	207	200	-8.010972821	240	7.04	237.6337712
0.416	208	200	-15.39543702	240	4.04	237.2773529
0.418	209	200	-21.68232448	239	8.04	236.912571
0.42	210	200	-8.777383087	239	9.04	236.54069
0.422	211	200	-16.54430812	239	6.04	236.159734
0.424	212	200	-23.17751169	238	8.04	235.7692217
0.426	213	200	-10.57383981	238	9.04	235.3714166
0.428	214	200	-18.57369607	237	6.04	234.9661743
0.43	215	200	-7.044756303	237	8.04	234.5538154
0.432	216	200	-15.85116132	236	5.04	234.1364462
0.434	217	200	-4.895923796	236	6.04	233.7155787
0.436	218	200	-14.09564579	236	10.04	233.2930729
0.438	219	200	-21.76087981	235	10.04	232.8679547
0.44	220	200	-9.977852154	235	15.04	232.436613
0.442	221	200	-18.69185378	234	15.04	231.9956902
0.444	222	200	-7.868043472	234	14.04	231.5416156
0.446	223	200	-17.42909122	233	14.04	231.073779
0.448	224	200	-7.265111906	232	20.04	230.5943261
0.45	225	200	0.9766566422	232	10.04	230.1021037
0.452	226	200	-10.6090875	231	17.04	229.5973982
0.454	227	200	-1.995396411	231	10.04	229.0845423
0.456	228	200	-13.19497886	230	20.04	228.5657688
0.458	229	200	-4.267576951	230	15.04	228.040453
0.46	230	200	-15.30075627	229	21.04	227.5057623
0.462	231	200	-6.345475153	229	13.04	226.9599674
0.464	232	200	-17.38308715	228	16.04	226.4046216
0.466	233	200	-8.34966562	228	13.04	225.8438817
0.468	234	200	-19.21267116	227	10.04	225.2807174
0.47	235	200	-9.939000632	227	10.04	224.7183446
0.472	236	200	-20.47865636	226	4.04	224.1611088
0.474	237	200	-10.79353041	226	9.04	223.6130508
0.476	238	200	-20.87127488	225	9.04	223.0770239
0.478	239	200	-10.79377762	224	14.04	222.5507159
0.48	240	200	-2.348512585	224	4.04	222.0292628
0.482	241	200	-13.49147657	223	14.04	221.5126441
0.484	242	200	-4.268292615	223	3.04	221.0030927
0.486	243	200	-14.74787781	222	12.04	220.5008782
0.488	244	200	-4.967358609	221	7.04	220.0071492
0.49	245	200	3.328306148	221	5.04	219.5207143
0.492	246	200	-7.825767423	220	11.04	219.0427153
0.494	247	200	1.476357247	220	10.04	218.5742095
0.496	248	200	-8.937821835	219	12.04	218.1107634
0.498	249	200	0.8231210155	219	17.04	217.6496005
0.5	250	200	-9.341279796	218	8.04	217.1872331
0.502	251	200	0.5328047375	218	16.04	216.7226703
0.504	252	200	-9.516435927	217	8.04	216.2585987
0.506	253	200	0.5071818435	217	14.04	215.7957143
0.508	254	200	-9.39116634	216	4.04	215.3351148
0.51	255	200	0.8253991828	216	13.04	214.8796243
