#SLFR RTP Motor_Comp_w_accel_fb
#Gth num=[ 18.32547182 -17.20911971]
#Gth den=[ 1.         -0.77672958]
#Ga num=[]
#Ga den=[]
#t	n	u	v	$\theta$	a	$\hat{\theta}_d$
0	0	0	0	0	0	0
0.002	1	0	0	0	2	0
0.004	2	0	0	0	2	0
0.006	3	0	0	0	4	0
0.008	4	0	0	0	4	0
0.01	5	0	0	0	3	0
0.012	6	0	0	0	2	0
0.014	7	0	0	0	3	0
0.016	8	0	0	0	1	0
0.018	9	0	0	0	1	0
0.02	10	100	200	0	1	100
0.022	11	100	200	0	3	100
0.024	12	100	200	1	4	100
0.026	13	100	200	1	-3	100
0.028	14	100	200	3	14	100
0.03	15	100	200	4	2	100
0.032	16	100	200	6	-6	100
0.034	17	100	200	7	-15	100
0.036	18	100	200	9	-16	100
0.038	19	100	200	12	-27	100
0.04	20	100	200	14	-19	100
0.042	21	100	200	17	-22	100
0.044	22	100	196.3757819	19	-16	100
0.046	23	100	200	22	-8	100
0.048	24	100	190.7940213	25	-7	100
0.05	25	100	180.2944091	28	4	100
0.052	26	100	168.7899933	31	2	100
0.054	27	100	156.505117	34	3	100
0.056	28	100	143.6140339	37	11	100
0.058	29	100	130.252092	40	22	100
0.06	30	100	116.5244201	43	22	100
0.062	31	100	102.5126751	46	48	100
0.064	32	100	88.2802819	48	53	100
0.066	33	100	92.20197665	51	63	100
0.068	34	100	74.6898969	53	74	100
0.07	35	100	76.06416208	56	79	100
0.072	36	100	56.57341843	58	84	100
0.074	37	100	56.41079685	60	81	100
0.076	38	100	54.05177962	62	76	100
0.078	39	100	49.98675693	64	86	100
0.08	40	100	44.59662934	66	81	100
0.082	41	100	38.17725359	67	73	100
0.084	42	100	49.28390217	69	84	100
0.086	43	100	38.46894068	70	79	100
0.088	44	100	46.16140781	71	77	100
0.09	45	100	51.02002243	72	67	100
0.092	46	100	53.67749999	73	56	100
0.094	47	100	54.62528929	74	56	100
0.096	48	100	54.24511316	75	39	100
0.098	49	100	52.833467	76	32	100
0.1	50	100	50.62064755	76	28	100
0.102	51	100	66.11100495	77	28	100
0.104	52	100	59.81735187	77	27	100
0.106	53	100	72.13800508	78	22	100
0.108	54	100	63.38234901	78	28	100
0.11	55	100	73.79069168	78	21	100
0.112	56	100	81.87515928	79	22	100
0.114	57	100	69.82913255	79	13	100
0.116	58	100	77.68174702	79	19	100
0.118	59	100	83.78110493	80	18	100
0.12	60	100	70.19318479	80	23	100
0.122	61	100	76.84816504	80	31	100
0.124	62	100	82.01728504	81	38	100
0.126	63	100	67.7068216	81	43	100
0.128	64	100	73.80058109	81	48	100
0.13	65	100	78.53378433	82	44	100
0.132	66	100	63.88473145	82	41	100
0.134	67	100	69.71549852	83	38	100
0.136	68	100	55.91895593	83	33	100
0.138	69	100	62.41189295	84	37	100
0.14	70	100	49.12967735	85	30	100
0.142	71	100	37.69663554	85	35	100
0.144	72	100	46.02537351	86	28	100
0.146	73	100	34.16907881	86	29	100
0.148	74	100	42.16906376	87	16	100
0.15	75	100	30.05741685	87	14	100
0.152	76	100	37.85906219	88	-1	100
0.154	77	100	25.59335904	88	-6	100
0.156	78	100	33.27534433	89	-9	100
0.158	79	100	20.9166977	89	-12	100
0.16	80	100	28.52649103	90	-11	100
0.162	81	100	16.11177076	90	-14	100
0.164	82	100	23.67801005	91	-7	100
0.166	83	100	11.22946007	91	-14	100
0.168	84	100	18.76942282	92	-13	100
0.17	85	100	6.300463068	92	-18	100
0.172	86	100	13.82457295	92	-13	100
0.174	87	100	19.66877163	93	-13	100
0.176	88	100	5.882661771	94	-7	100
0.178	89	100	-5.941769618	94	-6	100
0.18	90	100	2.082964502	94	6	100
0.182	91	100	8.316012838	95	-2	100
0.184	92	100	-5.168065991	95	-8	100
0.186	93	100	1.567570876	96	9	100
0.188	94	100	-11.52613258	96	-1	100
0.19	95	100	-4.487279608	96	1	100
0.192	96	100	0.9800056785	97	4	100
0.194	97	100	-13.09886396	97	-14	100
0.196	98	100	-6.825218707	98	-3	100
